date,open,max,min,close,x,y
2010.10.01,1307.46000,1320.44000,1305.99000,1318.72000,1765,0
2010.10.04,1317.99000,1319.91000,1312.27000,1314.95000,1225,0
2010.10.05,1314.85000,1341.40000,1312.24000,1340.36000,3282,0
2010.10.06,1339.88000,1349.60000,1338.73000,1348.63000,1300,0
2010.10.07,1349.03000,1364.55000,1325.68000,1333.28000,6200,0
2010.10.08,1333.19000,1349.49000,1324.97000,1347.21000,3503,0
2010.10.11,1348.29000,1355.12000,1340.13000,1353.77000,2451,0
2010.10.12,1352.80000,1355.07000,1340.53000,1350.15000,2644,0
2010.10.13,1350.20000,1373.94000,1349.02000,1371.87000,2818,0
2010.10.14,1371.15000,1387.03000,1370.69000,1380.83000,2301,0
2010.10.15,1380.55000,1385.11000,1362.41000,1368.17000,3303,0
2010.10.18,1370.40000,1374.76000,1352.73000,1368.20000,4187,0
2010.10.19,1369.38000,1370.82000,1328.27000,1331.68000,4741,0
2010.10.20,1333.95000,1346.92000,1330.40000,1345.93000,2107,0
2010.10.21,1345.34000,1349.02000,1317.80000,1325.39000,4250,0
2010.10.22,1325.51000,1328.33000,1315.14000,1328.18000,2372,0
2010.10.25,1331.57000,1349.02000,1331.25000,1339.64000,2748,0
2010.10.26,1339.20000,1343.44000,1327.97000,1340.21000,2994,0
2010.10.27,1340.00000,1343.40000,1319.10000,1325.02000,3363,0
2010.10.28,1325.10000,1345.40000,1322.84000,1343.73000,2650,0
2010.10.29,1344.10000,1359.14000,1335.15000,1358.95000,3314,0
2010.11.01,1363.88000,1365.30000,1348.94000,1351.87000,2072,0
2010.11.02,1352.85000,1359.62000,1350.25000,1356.37000,1523,0
2010.11.03,1356.43000,1364.15000,1325.39000,1348.34000,6944,0
2010.11.04,1348.03000,1393.22000,1346.72000,1393.22000,4782,0
2010.11.05,1391.20000,1397.81000,1373.82000,1393.23000,4596,0
2010.11.08,1395.61000,1410.27000,1386.85000,1409.13000,3333,0
2010.11.09,1409.61000,1424.18000,1382.93000,1392.78000,6568,0
2010.11.10,1393.33000,1409.93000,1383.99000,1403.53000,4169,0
2010.11.11,1403.36000,1417.49000,1397.14000,1408.23000,3584,0
2010.11.12,1408.64000,1410.07000,1359.94000,1368.25000,5988,0
2010.11.15,1370.36000,1376.50000,1355.80000,1360.35000,3140,0
2010.11.16,1358.90000,1364.44000,1329.61000,1339.41000,5018,0
2010.11.17,1341.58000,1344.62000,1330.77000,1335.77000,2190,0
2010.11.18,1335.62000,1358.96000,1335.55000,1352.96000,2949,0
2010.11.19,1354.28000,1363.08000,1341.46000,1353.19000,4216,0
2010.11.22,1357.49000,1367.65000,1348.22000,1366.50000,2986,0
2010.11.23,1366.31000,1382.09000,1356.14000,1376.12000,4210,0
2010.11.24,1376.00000,1381.11000,1369.14000,1372.95000,2090,0
2010.11.25,1372.01000,1375.01000,1367.91000,1374.48000,1174,0
2010.11.26,1374.19000,1374.90000,1350.76000,1363.17000,3727,0
2010.11.29,1363.07000,1369.12000,1353.01000,1366.02000,2928,0
2010.11.30,1366.87000,1389.74000,1362.73000,1385.96000,3494,0
2010.12.01,1386.19000,1396.65000,1381.87000,1387.65000,2811,0
2010.12.02,1386.90000,1398.20000,1382.93000,1384.99000,2864,0
2010.12.03,1385.68000,1415.53000,1384.51000,1413.68000,3405,0
2010.12.06,1414.10000,1427.02000,1408.82000,1423.50000,2701,0
2010.12.07,1424.25000,1430.76000,1396.56000,1401.76000,4592,0
2010.12.08,1400.31000,1404.24000,1371.31000,1381.72000,4728,0
